rf__n_estimators,rf__criterion,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
50,entropy,10,10,2,4,0.2,0.8771929824561403,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6471036073356411
50,entropy,10,10,2,4,0.30000000000000004,0.8947368421052632,0.6363636363636364,0.7777777777777778,0.7,0.6416587529241817
50,entropy,10,10,2,4,0.4,0.9298245614035088,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7361111111111112
50,entropy,10,10,2,4,0.5,0.9298245614035088,0.8571428571428571,0.6666666666666666,0.75,0.7175105773237274
50,entropy,10,10,2,4,0.6,0.9122807017543859,1.0,0.4444444444444444,0.6153846153846154,0.6344412685745152
50,entropy,10,10,2,4,0.7000000000000001,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
50,entropy,10,10,2,4,0.8,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
50,entropy,10,10,2,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,2,5,0.1,0.7719298245614035,0.4090909090909091,1.0,0.5806451612903226,0.5461643109408143
50,entropy,10,10,2,5,0.2,0.9122807017543859,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7205107927499322
50,entropy,10,10,2,5,0.30000000000000004,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
50,entropy,10,10,2,5,0.4,0.9473684210526315,0.875,0.7777777777777778,0.8235294117647058,0.7946261367957334
50,entropy,10,10,2,5,0.5,0.9473684210526315,0.875,0.7777777777777778,0.8235294117647058,0.7946261367957334
50,entropy,10,10,2,5,0.6,0.9298245614035088,1.0,0.5555555555555556,0.7142857142857143,0.7161148740394329
50,entropy,10,10,2,5,0.7000000000000001,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
50,entropy,10,10,2,5,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,2,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,10,10,5,1,0.1,0.7586206896551724,0.38095238095238093,0.8888888888888888,0.5333333333333333,0.46978904980213854
50,gini,10,10,5,1,0.2,0.7931034482758621,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5125535214347595
50,gini,10,10,5,1,0.30000000000000004,0.9137931034482759,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.721541249881225
50,gini,10,10,5,1,0.4,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,gini,10,10,5,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
50,gini,10,10,5,1,0.6,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,10,10,5,1,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,2,0.1,0.6896551724137931,0.3333333333333333,1.0,0.5,0.45922146480918835
50,gini,10,10,5,2,0.2,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
50,gini,10,10,5,2,0.30000000000000004,0.9827586206896551,0.9,1.0,0.9473684210526315,0.9389529557231419
50,gini,10,10,5,2,0.4,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,gini,10,10,5,2,0.5,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
50,gini,10,10,5,2,0.6,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,gini,10,10,5,2,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,3,0.1,0.7413793103448276,0.375,1.0,0.5454545454545454,0.5101020306102035
50,gini,10,10,5,3,0.2,0.8275862068965517,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.5081245037849066
50,gini,10,10,5,3,0.30000000000000004,0.8793103448275862,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6039867765859692
50,gini,10,10,5,3,0.4,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
50,gini,10,10,5,3,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,gini,10,10,5,3,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,3,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,10,10,5,4,0.1,0.7719298245614035,0.4090909090909091,1.0,0.5806451612903226,0.5461643109408143
50,gini,10,10,5,4,0.2,0.8771929824561403,0.5625,1.0,0.72,0.6931585316505886
50,gini,10,10,5,4,0.30000000000000004,0.8947368421052632,0.6363636363636364,0.7777777777777778,0.7,0.6416587529241817
50,gini,10,10,5,4,0.4,0.9122807017543859,0.7,0.7777777777777778,0.7368421052631579,0.6857529381625583
50,gini,10,10,5,4,0.5,0.8947368421052632,0.8,0.4444444444444444,0.5714285714285714,0.5460375914550676
50,gini,10,10,5,4,0.6,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
50,gini,10,10,5,4,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,10,10,5,4,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,10,10,5,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,10,10,5,5,0.1,0.7017543859649122,0.34615384615384615,1.0,0.5142857142857142,0.4728188789670864
50,gini,10,10,5,5,0.2,0.8245614035087719,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5590443964971852
50,gini,10,10,5,5,0.30000000000000004,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
50,gini,10,10,5,5,0.4,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
50,gini,10,10,5,5,0.5,0.9298245614035088,1.0,0.5555555555555556,0.7142857142857143,0.7161148740394329
50,gini,10,10,5,5,0.6,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,10,10,5,5,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,10,10,5,5,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,10,10,5,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,5,1,0.1,0.7758620689655172,0.4,0.8888888888888888,0.5517241379310345,0.4905601310267698
50,entropy,10,10,5,1,0.2,0.7931034482758621,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5125535214347595
50,entropy,10,10,5,1,0.30000000000000004,0.9137931034482759,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.721541249881225
50,entropy,10,10,5,1,0.4,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,entropy,10,10,5,1,0.5,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
50,entropy,10,10,5,1,0.6,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,entropy,10,10,5,1,0.7000000000000001,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,entropy,10,10,5,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,10,10,5,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,10,10,5,2,0.1,0.7586206896551724,0.391304347826087,1.0,0.5625,0.528680532637681
50,entropy,10,10,5,2,0.2,0.8620689655172413,0.5294117647058824,1.0,0.6923076923076923,0.6655653167618867
50,entropy,10,10,5,2,0.30000000000000004,0.9827586206896551,0.9,1.0,0.9473684210526315,0.9389529557231419
50,entropy,10,10,5,2,0.4,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,entropy,10,10,5,2,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
50,entropy,10,10,5,2,0.6,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,entropy,10,10,5,2,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,10,10,5,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,10,10,5,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,10,10,5,3,0.1,0.8448275862068966,0.5,1.0,0.6666666666666666,0.6388765649999399
50,entropy,10,10,5,3,0.2,0.8103448275862069,0.4375,0.7777777777777778,0.56,0.48127949631033423
50,entropy,10,10,5,3,0.30000000000000004,0.8620689655172413,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.568984734861607
50,entropy,10,10,5,3,0.4,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
50,entropy,10,10,5,3,0.5,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
50,entropy,10,10,5,3,0.6,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,entropy,10,10,5,3,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,10,10,5,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,10,10,5,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,10,10,5,4,0.1,0.8245614035087719,0.47368421052631576,1.0,0.6428571428571429,0.6123724356957946
50,entropy,10,10,5,4,0.2,0.8947368421052632,0.6,1.0,0.75,0.724568837309472
50,entropy,10,10,5,4,0.30000000000000004,0.8947368421052632,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6819614262891904
50,entropy,10,10,5,4,0.4,0.9122807017543859,0.7,0.7777777777777778,0.7368421052631579,0.6857529381625583
50,entropy,10,10,5,4,0.5,0.9122807017543859,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6353446734100326
50,entropy,10,10,5,4,0.6,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
50,entropy,10,10,5,4,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,5,4,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,5,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,5,5,0.1,0.7543859649122807,0.391304347826087,1.0,0.5625,0.5264730886222754
50,entropy,10,10,5,5,0.2,0.8245614035087719,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5590443964971852
50,entropy,10,10,5,5,0.30000000000000004,0.8947368421052632,0.6363636363636364,0.7777777777777778,0.7,0.6416587529241817
50,entropy,10,10,5,5,0.4,0.9473684210526315,0.875,0.7777777777777778,0.8235294117647058,0.7946261367957334
50,entropy,10,10,5,5,0.5,0.9298245614035088,1.0,0.5555555555555556,0.7142857142857143,0.7161148740394329
50,entropy,10,10,5,5,0.6,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,5,5,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,5,5,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,10,10,5,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,20,5,2,1,0.1,0.7931034482758621,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5125535214347595
50,gini,20,5,2,1,0.2,0.8793103448275862,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6484956234299488
50,gini,20,5,2,1,0.30000000000000004,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
50,gini,20,5,2,1,0.4,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,gini,20,5,2,1,0.5,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
50,gini,20,5,2,1,0.6,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
50,gini,20,5,2,1,0.7000000000000001,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,gini,20,5,2,1,0.8,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,20,5,2,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,2,2,0.1,0.7931034482758621,0.42857142857142855,1.0,0.6,0.5688718312149532
50,gini,20,5,2,2,0.2,0.9655172413793104,0.8181818181818182,1.0,0.9,0.8858818442261356
50,gini,20,5,2,2,0.30000000000000004,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,gini,20,5,2,2,0.4,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,gini,20,5,2,2,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
50,gini,20,5,2,2,0.6,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,gini,20,5,2,2,0.7000000000000001,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,20,5,2,2,0.8,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,20,5,2,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,2,3,0.1,0.8448275862068966,0.5,1.0,0.6666666666666666,0.6388765649999399
50,gini,20,5,2,3,0.2,0.8793103448275862,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6484956234299488
50,gini,20,5,2,3,0.30000000000000004,0.896551724137931,0.6363636363636364,0.7777777777777778,0.7,0.6429449791428454
50,gini,20,5,2,3,0.4,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
50,gini,20,5,2,3,0.5,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
50,gini,20,5,2,3,0.6,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
50,gini,20,5,2,3,0.7000000000000001,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,20,5,2,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,2,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,2,4,0.1,0.8596491228070176,0.5294117647058824,1.0,0.6923076923076923,0.6642111641550715
50,gini,20,5,2,4,0.2,0.9122807017543859,0.6428571428571429,1.0,0.782608695652174,0.7588760486027063
50,gini,20,5,2,4,0.30000000000000004,0.9298245614035088,0.7272727272727273,0.8888888888888888,0.8,0.7635739159797762
50,gini,20,5,2,4,0.4,0.9298245614035088,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7361111111111112
50,gini,20,5,2,4,0.5,0.9298245614035088,0.8571428571428571,0.6666666666666666,0.75,0.7175105773237274
50,gini,20,5,2,4,0.6,0.9122807017543859,1.0,0.4444444444444444,0.6153846153846154,0.6344412685745152
50,gini,20,5,2,4,0.7000000000000001,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
50,gini,20,5,2,4,0.8,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
50,gini,20,5,2,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,20,5,2,5,0.1,0.7894736842105263,0.42857142857142855,1.0,0.6,0.5669467095138409
50,gini,20,5,2,5,0.2,0.9122807017543859,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7205107927499322
50,gini,20,5,2,5,0.30000000000000004,0.9649122807017544,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8680555555555556
50,gini,20,5,2,5,0.4,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
50,gini,20,5,2,5,0.5,0.9649122807017544,1.0,0.7777777777777778,0.875,0.8640987597877147
50,gini,20,5,2,5,0.6,0.9122807017543859,1.0,0.4444444444444444,0.6153846153846154,0.6344412685745152
50,gini,20,5,2,5,0.7000000000000001,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
50,gini,20,5,2,5,0.8,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
50,gini,20,5,2,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,20,5,2,1,0.1,0.8448275862068966,0.5,0.8888888888888888,0.64,0.5878222855698739
50,entropy,20,5,2,1,0.2,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
50,entropy,20,5,2,1,0.30000000000000004,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
50,entropy,20,5,2,1,0.4,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,entropy,20,5,2,1,0.5,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
50,entropy,20,5,2,1,0.6,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
50,entropy,20,5,2,1,0.7000000000000001,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,entropy,20,5,2,1,0.8,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,entropy,20,5,2,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,20,5,2,2,0.1,0.7931034482758621,0.42857142857142855,1.0,0.6,0.5688718312149532
50,entropy,20,5,2,2,0.2,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
50,entropy,20,5,2,2,0.30000000000000004,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,entropy,20,5,2,2,0.4,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,entropy,20,5,2,2,0.5,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,entropy,20,5,2,2,0.6,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
50,entropy,20,5,2,2,0.7000000000000001,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,entropy,20,5,2,2,0.8,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,entropy,20,5,2,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,20,5,2,3,0.1,0.8448275862068966,0.5,1.0,0.6666666666666666,0.6388765649999399
50,entropy,20,5,2,3,0.2,0.8103448275862069,0.4375,0.7777777777777778,0.56,0.48127949631033423
50,entropy,20,5,2,3,0.30000000000000004,0.8793103448275862,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6039867765859692
50,entropy,20,5,2,3,0.4,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
50,entropy,20,5,2,3,0.5,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
50,entropy,20,5,2,3,0.6,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
50,entropy,20,5,2,3,0.7000000000000001,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,entropy,20,5,2,3,0.8,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,entropy,20,5,2,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,entropy,20,5,2,4,0.1,0.8771929824561403,0.5625,1.0,0.72,0.6931585316505886
50,entropy,20,5,2,4,0.2,0.8771929824561403,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.6471036073356411
50,entropy,20,5,2,4,0.30000000000000004,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
50,entropy,20,5,2,4,0.4,0.9298245614035088,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7361111111111112
50,entropy,20,5,2,4,0.5,0.9298245614035088,0.8571428571428571,0.6666666666666666,0.75,0.7175105773237274
50,entropy,20,5,2,4,0.6,0.9298245614035088,1.0,0.5555555555555556,0.7142857142857143,0.7161148740394329
50,entropy,20,5,2,4,0.7000000000000001,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
50,entropy,20,5,2,4,0.8,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
50,entropy,20,5,2,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,entropy,20,5,2,5,0.1,0.8070175438596491,0.45,1.0,0.6206896551724138,0.5889609494694873
50,entropy,20,5,2,5,0.2,0.8947368421052632,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6819614262891904
50,entropy,20,5,2,5,0.30000000000000004,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
50,entropy,20,5,2,5,0.4,0.9649122807017544,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8680555555555556
50,entropy,20,5,2,5,0.5,0.9649122807017544,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8680555555555556
50,entropy,20,5,2,5,0.6,0.9473684210526315,1.0,0.6666666666666666,0.8,0.7921180343813394
50,entropy,20,5,2,5,0.7000000000000001,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
50,entropy,20,5,2,5,0.8,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
50,entropy,20,5,2,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,gini,20,5,5,1,0.1,0.7586206896551724,0.38095238095238093,0.8888888888888888,0.5333333333333333,0.46978904980213854
50,gini,20,5,5,1,0.2,0.7931034482758621,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5125535214347595
50,gini,20,5,5,1,0.30000000000000004,0.9137931034482759,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.721541249881225
50,gini,20,5,5,1,0.4,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,gini,20,5,5,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
50,gini,20,5,5,1,0.6,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
50,gini,20,5,5,1,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,2,0.1,0.6896551724137931,0.3333333333333333,1.0,0.5,0.45922146480918835
50,gini,20,5,5,2,0.2,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
50,gini,20,5,5,2,0.30000000000000004,0.9827586206896551,0.9,1.0,0.9473684210526315,0.9389529557231419
50,gini,20,5,5,2,0.4,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,gini,20,5,5,2,0.5,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
50,gini,20,5,5,2,0.6,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,gini,20,5,5,2,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,3,0.1,0.7413793103448276,0.375,1.0,0.5454545454545454,0.5101020306102035
50,gini,20,5,5,3,0.2,0.8275862068965517,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.5081245037849066
50,gini,20,5,5,3,0.30000000000000004,0.8793103448275862,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6039867765859692
50,gini,20,5,5,3,0.4,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
50,gini,20,5,5,3,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
50,gini,20,5,5,3,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,3,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
50,gini,20,5,5,4,0.1,0.7719298245614035,0.4090909090909091,1.0,0.5806451612903226,0.5461643109408143
